K_BM25,K_SEMANTIC,RRF_K,TOP_AFTER_RRF,TOP_FINAL,score_threshold,boost_weight,config_hash,H1a,H1b,H2
10,10,120,10,5,-3,0.0,e35c274cb95c8d040c8cecca225e8101,0.16666666666666666,0.0,0.6666666666666666
10,10,120,10,5,-3,1.0,a3c4230063af5f6aa2ed3aeb15a19931,0.16666666666666666,0.0,0.6666666666666666
10,10,120,10,5,-3,3.0,6eab02b07254a55d65447b0fe3f6d9c3,0.16666666666666666,0.0,0.6666666666666666
10,10,120,10,5,-3,4.0,c972ac9b909c69122aaef72121142af9,0.16666666666666666,0.0,0.5
10,10,120,10,5,-3,5.0,a3bff4f4ef34841d670630ad0447c6b1,0.16666666666666666,0.0,0.6666666666666666
10,10,120,10,5,-2,0.0,7f11496e23286ac353e6ab44c23268ba,0.16666666666666666,0.0,0.6666666666666666
